phase duration (us),pulse rate,stimulus amplitude (uA),amplitude,run,spike times (us)
50,400,3.65,1*threshold,5,14
50,400,3.65,1*threshold,5,16
50,400,3.65,1*threshold,5,19
50,400,3.65,1*threshold,5,21
50,400,3.65,1*threshold,5,24
50,400,3.65,1*threshold,5,26
50,400,3.65,1*threshold,5,29
50,400,3.65,1*threshold,5,31
50,400,3.65,1*threshold,5,34
50,400,3.65,1*threshold,5,36
50,400,3.65,1*threshold,5,39
50,400,3.65,1*threshold,5,41
50,400,3.65,1*threshold,5,44
50,400,3.65,1*threshold,5,46
50,400,3.65,1*threshold,5,49
50,400,3.65,1*threshold,5,51
50,400,3.65,1*threshold,5,54
50,400,3.65,1*threshold,5,56
50,400,3.65,1*threshold,5,59
50,400,3.65,1*threshold,5,61
50,400,3.65,1*threshold,5,64
50,400,3.65,1*threshold,5,66
50,400,3.65,1*threshold,5,69
50,400,3.65,1*threshold,5,71
50,400,3.65,1*threshold,5,74
50,400,3.65,1*threshold,5,76
50,400,3.65,1*threshold,5,79
50,400,3.65,1*threshold,5,81
50,400,3.65,1*threshold,5,84
50,400,3.65,1*threshold,5,86
50,400,3.65,1*threshold,5,89
50,400,3.65,1*threshold,5,91
50,400,3.65,1*threshold,5,94
50,400,3.65,1*threshold,5,96
50,400,3.65,1*threshold,5,99
50,400,3.65,1*threshold,5,101
50,400,3.65,1*threshold,5,104
50,400,3.65,1*threshold,5,106
50,400,3.65,1*threshold,5,109
50,400,3.65,1*threshold,5,111
50,400,3.65,1*threshold,5,114
50,400,3.65,1*threshold,5,116
50,400,3.65,1*threshold,5,119
50,400,3.65,1*threshold,5,121
50,400,3.65,1*threshold,5,124
50,400,3.65,1*threshold,5,126
50,400,3.65,1*threshold,5,129
50,400,3.65,1*threshold,5,131
50,400,3.65,1*threshold,5,134
50,400,3.65,1*threshold,5,136
50,400,3.65,1*threshold,5,139
50,400,3.65,1*threshold,5,141
50,400,3.65,1*threshold,5,144
50,400,3.65,1*threshold,5,146
50,400,3.65,1*threshold,5,149
50,400,3.65,1*threshold,5,151
50,400,3.65,1*threshold,5,154
50,400,3.65,1*threshold,5,156
50,400,3.65,1*threshold,5,159
50,400,3.65,1*threshold,5,161
50,400,3.65,1*threshold,5,164
50,400,3.65,1*threshold,5,166
50,400,3.65,1*threshold,5,169
50,400,3.65,1*threshold,5,171
50,400,3.65,1*threshold,5,174
50,400,3.65,1*threshold,5,176
50,400,3.65,1*threshold,5,179
50,400,3.65,1*threshold,5,181
50,400,3.65,1*threshold,5,184
50,400,3.65,1*threshold,5,186
50,400,3.65,1*threshold,5,189
50,400,3.65,1*threshold,5,191
50,400,3.65,1*threshold,5,194
50,400,3.65,1*threshold,5,196
50,400,3.65,1*threshold,5,199
50,400,3.65,1*threshold,5,201
50,400,3.65,1*threshold,5,204
50,400,3.65,1*threshold,5,206
50,400,3.65,1*threshold,5,209
50,400,3.65,1*threshold,5,211
50,400,3.65,1*threshold,5,214
50,400,3.65,1*threshold,5,216
50,400,3.65,1*threshold,5,219
50,400,3.65,1*threshold,5,221
50,400,3.65,1*threshold,5,224
50,400,3.65,1*threshold,5,226
50,400,3.65,1*threshold,5,229
50,400,3.65,1*threshold,5,231
50,400,3.65,1*threshold,5,234
50,400,3.65,1*threshold,5,236
50,400,3.65,1*threshold,5,239
50,400,3.65,1*threshold,5,241
50,400,3.65,1*threshold,5,244
50,400,3.65,1*threshold,5,246
50,400,3.65,1*threshold,5,249
50,400,3.65,1*threshold,5,251
50,400,3.65,1*threshold,5,254
50,400,3.65,1*threshold,5,256
50,400,3.65,1*threshold,5,259
50,400,3.65,1*threshold,5,261
50,400,3.65,1*threshold,5,264
50,400,3.65,1*threshold,5,266
50,400,3.65,1*threshold,5,269
50,400,3.65,1*threshold,5,271
50,400,3.65,1*threshold,5,274
50,400,3.65,1*threshold,5,276
50,400,3.65,1*threshold,5,279
50,400,3.65,1*threshold,5,281
50,400,3.65,1*threshold,5,284
50,400,3.65,1*threshold,5,286
50,400,3.65,1*threshold,5,289
50,400,3.65,1*threshold,5,291
50,400,3.65,1*threshold,5,294
50,400,3.65,1*threshold,5,296
50,400,3.65,1*threshold,6,1
50,400,3.65,1*threshold,6,4
50,400,3.65,1*threshold,6,6
50,400,3.65,1*threshold,6,9
50,400,3.65,1*threshold,6,11
50,400,3.65,1*threshold,6,14
50,400,3.65,1*threshold,6,16
50,400,3.65,1*threshold,6,19
50,400,3.65,1*threshold,6,21
50,400,3.65,1*threshold,6,24
50,400,3.65,1*threshold,6,26
50,400,3.65,1*threshold,6,29
50,400,3.65,1*threshold,6,31
50,400,3.65,1*threshold,6,34
50,400,3.65,1*threshold,6,36
50,400,3.65,1*threshold,6,39
50,400,3.65,1*threshold,6,41
50,400,3.65,1*threshold,6,44
50,400,3.65,1*threshold,6,46
50,400,3.65,1*threshold,6,49
50,400,3.65,1*threshold,6,51
50,400,3.65,1*threshold,6,54
50,400,3.65,1*threshold,6,56
50,400,3.65,1*threshold,6,59
50,400,3.65,1*threshold,6,61
50,400,3.65,1*threshold,6,64
50,400,3.65,1*threshold,6,66
50,400,3.65,1*threshold,6,69
50,400,3.65,1*threshold,6,71
50,400,3.65,1*threshold,6,74
50,400,3.65,1*threshold,6,76
