measurement_node,electrode distance (um),model,stimulus amplitude (uA),latency (ms),amplitude level
124,500,briaire_05,55.786634746350735,2.3949999999999996,3.7368421052631575
124,500,briaire_05,58.92954374614515,2.359,3.9473684210526314
124,500,briaire_05,62.07245274593956,2.347,4.157894736842105
124,500,briaire_05,65.21536174573396,2.34,4.368421052631579
124,500,briaire_05,68.35827074552837,2.3349999999999995,4.578947368421052
124,500,briaire_05,71.50117974532277,2.3309999999999995,4.789473684210526
124,500,briaire_05,74.64408874511719,2.3279999999999994,5.0
124,700,briaire_05,48.06243494937295,2.5300000000000002,1.2105263157894737
124,700,briaire_05,56.42111928839433,2.5170000000000003,1.4210526315789473
124,700,briaire_05,64.7798036274157,2.508,1.631578947368421
124,700,briaire_05,73.1384879664371,2.4929999999999994,1.8421052631578947
124,700,briaire_05,81.49717230545848,2.4419999999999997,2.052631578947368
124,700,briaire_05,89.85585664447986,2.353,2.263157894736842
124,700,briaire_05,98.21454098350125,2.3379999999999996,2.473684210526316
124,700,briaire_05,106.57322532252263,2.3299999999999996,2.6842105263157894
124,700,briaire_05,114.931909661544,2.3249999999999997,2.894736842105263
124,700,briaire_05,123.29059400056539,2.321,3.1052631578947367
124,700,briaire_05,131.64927833958677,2.3179999999999996,3.3157894736842106
124,700,briaire_05,140.00796267860815,2.3149999999999995,3.526315789473684
124,700,briaire_05,148.36664701762953,2.312,3.736842105263158
124,700,briaire_05,156.7253313566509,2.3099999999999996,3.9473684210526314
124,700,briaire_05,165.0840156956723,2.3080000000000003,4.157894736842105
124,700,briaire_05,173.44270003469367,2.306,4.368421052631579
124,700,briaire_05,181.80138437371505,2.3049999999999997,4.578947368421052
124,700,briaire_05,190.1600687127364,2.3029999999999995,4.789473684210526
124,700,briaire_05,198.51875305175784,2.301999999999999,5.0
124,1000,briaire_05,136.49129185237385,2.5100000000000002,1.2105263157894737
124,1000,briaire_05,160.22890782669973,2.3600000000000003,1.4210526315789473
124,1000,briaire_05,183.96652380102563,2.334,1.631578947368421
124,1000,briaire_05,207.70413977535148,2.3249999999999997,1.8421052631578947
124,1000,briaire_05,231.44175574967733,2.3179999999999996,2.052631578947368
124,1000,briaire_05,255.17937172400326,2.314,2.263157894736842
124,1000,briaire_05,278.9169876983292,2.3099999999999996,2.4736842105263164
