stimulation info,run,time / ms,membrane potential / mV
40 us; monophasic; threshold,1.0,0.20999999999999996,-64.03614177023104
40 us; monophasic; threshold,2.0,0.20999999999999996,-64.57194513402699
40 us; monophasic; threshold,3.0,0.20999999999999996,-65.77152073119812
40 us; monophasic; threshold,4.0,0.20999999999999996,-64.07178923910135
40 us; monophasic; threshold,5.0,0.20999999999999996,-64.44805963874671
40 us; monophasic; threshold,6.0,0.20999999999999996,-64.55621573465972
40 us; monophasic; threshold,7.0,0.20999999999999996,-64.71948298047265
40 us; monophasic; threshold,8.0,0.20999999999999996,-63.848160361546554
40 us; monophasic; threshold,9.0,0.20999999999999996,-65.13583383789991
40 us; monophasic; threshold,0.0,0.21499999999999997,-64.3965467851279
40 us; monophasic; threshold,1.0,0.21499999999999997,-64.23090653470547
40 us; monophasic; threshold,2.0,0.21499999999999997,-64.78120242050666
40 us; monophasic; threshold,3.0,0.21499999999999997,-65.47071782409911
40 us; monophasic; threshold,4.0,0.21499999999999997,-64.14840324297457
40 us; monophasic; threshold,5.0,0.21499999999999997,-64.35166239138928
40 us; monophasic; threshold,6.0,0.21499999999999997,-64.58890542724892
40 us; monophasic; threshold,7.0,0.21499999999999997,-64.4498299960258
40 us; monophasic; threshold,8.0,0.21499999999999997,-64.25310964766926
40 us; monophasic; threshold,9.0,0.21499999999999997,-64.89975874102522
40 us; monophasic; threshold,0.0,0.21999999999999997,-64.57540338519907
40 us; monophasic; threshold,1.0,0.21999999999999997,-64.34732489930873
40 us; monophasic; threshold,2.0,0.21999999999999997,-64.96309311106579
40 us; monophasic; threshold,3.0,0.21999999999999997,-65.29475127396151
40 us; monophasic; threshold,4.0,0.21999999999999997,-64.47501919902042
40 us; monophasic; threshold,5.0,0.21999999999999997,-64.42022363563271
40 us; monophasic; threshold,6.0,0.21999999999999997,-64.65514544983162
40 us; monophasic; threshold,7.0,0.21999999999999997,-64.00304056397032
40 us; monophasic; threshold,8.0,0.21999999999999997,-64.67135706282737
40 us; monophasic; threshold,9.0,0.21999999999999997,-64.84444226495106
40 us; monophasic; threshold,0.0,0.22499999999999998,-64.70251612385
40 us; monophasic; threshold,1.0,0.22499999999999998,-64.1635883009061
40 us; monophasic; threshold,2.0,0.22499999999999998,-64.75078858399506
40 us; monophasic; threshold,3.0,0.22499999999999998,-65.21439209901051
40 us; monophasic; threshold,4.0,0.22499999999999998,-64.75749656939252
40 us; monophasic; threshold,5.0,0.22499999999999998,-64.19686031193739
40 us; monophasic; threshold,6.0,0.22499999999999998,-64.71688506580747
40 us; monophasic; threshold,7.0,0.22499999999999998,-63.99115132292851
40 us; monophasic; threshold,8.0,0.22499999999999998,-65.14727640523522
40 us; monophasic; threshold,9.0,0.22499999999999998,-64.81182514508745
40 us; monophasic; threshold,0.0,0.22999999999999998,-64.5683082641965
40 us; monophasic; threshold,1.0,0.22999999999999998,-64.09721663996547
40 us; monophasic; threshold,2.0,0.22999999999999998,-64.83518688312417
40 us; monophasic; threshold,3.0,0.22999999999999998,-65.13535790904339
40 us; monophasic; threshold,4.0,0.22999999999999998,-64.74831212690201
40 us; monophasic; threshold,5.0,0.22999999999999998,-64.28987771722231
40 us; monophasic; threshold,6.0,0.22999999999999998,-64.59699497920376
40 us; monophasic; threshold,7.0,0.22999999999999998,-64.1432468328506
40 us; monophasic; threshold,8.0,0.22999999999999998,-65.28785679860503
40 us; monophasic; threshold,9.0,0.22999999999999998,-64.71681768026166
40 us; monophasic; threshold,0.0,0.23499999999999996,-64.41169473313553
40 us; monophasic; threshold,1.0,0.23499999999999996,-64.11991526054169
40 us; monophasic; threshold,2.0,0.23499999999999996,-64.76986181901472
40 us; monophasic; threshold,3.0,0.23499999999999996,-64.92798472426257
40 us; monophasic; threshold,4.0,0.23499999999999996,-64.49675880949955
40 us; monophasic; threshold,5.0,0.23499999999999996,-64.17002630127263
40 us; monophasic; threshold,6.0,0.23499999999999996,-64.34408828144204
40 us; monophasic; threshold,7.0,0.23499999999999996,-64.4478592723747
40 us; monophasic; threshold,8.0,0.23499999999999996,-65.30801381124658
40 us; monophasic; threshold,9.0,0.23499999999999996,-64.61910945170908
40 us; monophasic; threshold,0.0,0.23999999999999996,-64.61813296212252
40 us; monophasic; threshold,1.0,0.23999999999999996,-64.1793962084998
40 us; monophasic; threshold,2.0,0.23999999999999996,-64.99467910178687
40 us; monophasic; threshold,3.0,0.23999999999999996,-64.88465181501724
40 us; monophasic; threshold,4.0,0.23999999999999996,-64.4482507121649
40 us; monophasic; threshold,5.0,0.23999999999999996,-64.11343125657122
40 us; monophasic; threshold,6.0,0.23999999999999996,-64.49504568319864
40 us; monophasic; threshold,7.0,0.23999999999999996,-64.71152936329362
40 us; monophasic; threshold,8.0,0.23999999999999996,-65.17308380334077
40 us; monophasic; threshold,9.0,0.23999999999999996,-64.4762394923898
